country,points,price,variety
US,96,235,Cabernet Sauvignon
Spain,96,110,Tinta de Toro
US,96,90,Sauvignon Blanc
US,96,65,Pinot Noir
France,95,66,Provence red blend
Spain,95,73,Tinta de Toro
Spain,95,65,Tinta de Toro
Spain,95,110,Tinta de Toro
US,95,65,Pinot Noir
US,95,60,Pinot Noir
Italy,95,80,Friulano
US,95,48,Pinot Noir
US,95,48,Pinot Noir
France,95,90,Tannat
US,95,185,Pinot Noir
US,95,90,Chardonnay
US,95,325,Cabernet Sauvignon
Spain,95,80,Tempranillo
France,95,290,Malbec
US,95,75,Pinot Noir
US,95,24,Rosé
Spain,95,79,Tempranillo Blend
Spain,95,220,Tinta de Toro
US,95,60,Chardonnay
US,95,45,Pinot Noir
New Zealand,94,57,Chardonnay
US,94,62,Pinot Noir
US,94,105,Pinot Noir
US,94,60,Pinot Noir
US,94,60,Syrah
Bulgaria,90,15,Mavrud
US,90,37,Chardonnay
Italy,90,,Sangiovese
France,90,22,Sparkling Blend
US,90,42,Chardonnay
Italy,90,135,Sangiovese
France,90,60,Rhône-style White Blend
Italy,90,29,Sangiovese
Italy,90,23,Sangiovese
Italy,90,29,Red Blend
Spain,90,17,Mencía
Spain,90,26,Palomino
US,90,55,Petite Sirah
Italy,90,39,Red Blend
France,90,69,Syrah
Italy,90,30,Red Blend
Italy,90,90,Sangiovese
US,90,60,Cabernet Sauvignon
Italy,90,50,Sangiovese
US,90,40,Cabernet Sauvignon
Italy,90,100,Sangiovese
France,90,68,Chardonnay
France,90,42,Sauvignon Blanc
France,90,28,Pinot Noir
US,90,18,Chardonnay
US,90,69,Cabernet Sauvignon
France,90,,Sauvignon Blanc
US,90,25,Riesling
US,90,30,Cabernet Sauvignon-Syrah
Italy,90,60,Red Blend
Argentina,91,30,Malbec
Australia,91,36,Pinot Noir
Argentina,91,25,Malbec
France,91,45,Chardonnay
Portugal,91,23,Portuguese Red
US,91,36,Syrah
France,91,38,Chardonnay
US,91,85,Cabernet Sauvignon
US,91,50,Pinot Noir
US,91,60,Cabernet Sauvignon
US,91,85,Cabernet Sauvignon
US,91,45,Pinot Noir
Italy,91,,Nebbiolo
US,91,19,Pinot Gris
Portugal,91,15,Portuguese Red
US,91,54,Pinot Noir
France,91,85,Chardonnay
US,91,38,Sauvignon Blanc
US,91,28,Cabernet Sauvignon
Italy,91,75,Nebbiolo
US,91,42,Pinot Noir
Israel,91,25,Cabernet Sauvignon
Italy,91,,Nebbiolo
Italy,91,59,Nebbiolo
Italy,91,85,Nebbiolo
Italy,91,80,Nebbiolo
France,91,45,Chardonnay
US,91,22,Cabernet Sauvignon
US,91,65,Pinot Noir
US,91,50,Meritage
US,86,10,Cabernet Sauvignon
Portugal,86,12,Baga
Italy,86,22,Glera
US,86,13,Chardonnay
Portugal,86,10,Portuguese Red
France,86,14,Malbec-Merlot
US,86,18,Chardonnay
US,86,36,Cabernet Sauvignon
France,86,15,Merlot-Malbec
France,86,10,Ugni Blanc-Colombard
US,86,24,Viognier
US,86,50,Cabernet Sauvignon
Italy,86,45,Sangiovese
US,86,48,Cabernet Sauvignon-Cabernet Franc
US,86,20,Moscato
US,86,17,Pinot Grigio
US,86,12,Cabernet Franc
US,86,10,Chardonnay
US,86,13,White Blend
US,86,45,Chardonnay
Portugal,86,12,Portuguese Red
Argentina,86,12,Rosé
US,86,125,Cabernet Sauvignon
US,86,25,Riesling
South Africa,86,20,Sauvignon Blanc
Argentina,86,15,Malbec
Spain,86,,Monastrell
France,86,20,Rosé
France,86,15,Gamay
Portugal,86,7,Portuguese Red
US,91,59,Pinot Noir
US,91,49,Pinot Noir
US,91,42,Sparkling Blend
US,91,93,Chardonnay
US,91,32,Pinot Noir
US,91,20,Pinot Noir
US,90,100,Zinfandel
US,90,50,Cabernet Sauvignon
Spain,90,22,Tempranillo
Italy,90,45,White Blend
Italy,90,18,Greco
US,90,45,Chardonnay
US,90,26,Barbera
US,90,16,Chardonnay
US,90,30,Cabernet Sauvignon
US,90,42,Grenache
US,90,38,Zinfandel
US,90,48,Rhône-style Red Blend
Spain,90,17,Tempranillo
France,90,18,Rosé
France,90,15,Rosé
US,90,28,Sauvignon Blanc
US,90,25,Grenache
US,90,26,Chardonnay
US,90,24,Albariño
US,90,55,Pinot Noir
US,90,36,Zinfandel
Spain,90,17,Albariño
US,90,40,Syrah
US,90,28,Malvasia Bianca